content;score;sentiment_rating;wordCount;tweet_without_stopwords;wordCount_after_stopwords
gak bisa bayar yg mau di bpilih , bingung aneh gak ada bantuan sma sekali;2;Negative;15;gak bisa bayar yg mau di bpilih , bingung aneh gak ada bantuan sma sekali;15
sgt berguna utk tahu kesehatan dan shared soal kesehatan;5;Positive;9;sgt berguna utk tahu kesehatan dan shared soal kesehatan;9
sudah war jadwal dokter berbulan2 pas hari h dokternya terkendala jaringan. alhasil uang direfund masuk saldo yesdok dan jika ditf ke rekening ada potongan 10k.. yang rugi siapa di sini ? konsul ga jadi uang kepotong.. saya lihat banyak yg kecewa dan menyesal ya makanya mereka kasih bintang 1 ...sayangnya saya baru lihat barusan.. oke thanks yesdok pengalaman tidak menyenangkannya..;1;Negative;60;sudah war jadwal dokter berbulan2 pas hari h dokternya terkendala jaringan. alhasil uang direfund masuk saldo yesdok dan jika ditf ke rekening ada potongan 10k.. yang rugi siapa di sini ? konsul ga jadi uang kepotong.. saya lihat banyak yg kecewa dan menyesal ya makanya mereka kasih bintang 1 ...sayangnya saya baru lihat barusan.. oke thanks yesdok pengalaman tidak menyenangkannya..;60
dokternya sibuk terus;1;Negative;3;dokternya sibuk terus;3
"aplikasi yang sangat kurang relevan buat dipake karena pelayanan dari pihak yesdok sendiri kurang baik kurang bermanfaat.saya sangat kecewa,marah karena saya sudah transfer lewat bca dan berhasil giliran mau konsul dokternya sibuk terus dan gak bisa tersambung bahkan saya sudah coba berkali-kali hasilnya tetap sama bahkan dikemudian hari juga tetap sama.semoga kedepannya pihak yesdok bisa jauh lebih baik lagi dan pihak yesdok bertanggung jawab buat orang"" yang sudah bayar tapi belum kolsul tiba""";1;Negative;73;"aplikasi yang sangat kurang relevan buat dipake karena pelayanan dari pihak yesdok sendiri kurang baik kurang bermanfaat.saya sangat kecewa,marah karena saya sudah transfer lewat bca dan berhasil giliran mau konsul dokternya sibuk terus dan gak bisa tersambung bahkan saya sudah coba berkali-kali hasilnya tetap sama bahkan dikemudian hari juga tetap sama.semoga kedepannya pihak yesdok bisa jauh lebih baik lagi dan pihak yesdok bertanggung jawab buat orang"" yang sudah bayar tapi belum kolsul tiba""";73
ini membantu aku mengatasi ocd tapi waktu tunggu lama banget 1 jam;3;Neutral;12;ini membantu aku mengatasi ocd tapi waktu tunggu lama banget 1 jam;12
katanya 24jam, setelah transfer dari shopee sesuai tarif yg disebutkan dan pembayaran sukses,ternyata ga sekalipun tersambung. waktu tunggu terus muter² kayak signal hp dihutan. sampe skrg ga ada tanggapan, baik lewat wa sekalipun. kecewa sy, belum memadai pelayanannya.;1;Negative;38;katanya 24jam, setelah transfer dari shopee sesuai tarif yg disebutkan dan pembayaran sukses,ternyata ga sekalipun tersambung. waktu tunggu terus muter² kayak signal hp dihutan. sampe skrg ga ada tanggapan, baik lewat wa sekalipun. kecewa sy, belum memadai pelayanannya.;38
aplikasi konsultasi dokter,dokternya ga ada yg ready gak jelas;1;Negative;9;aplikasi konsultasi dokter,dokternya ga ada yg ready gak jelas;9
luar biasa;5;Positive;2;luar biasa;2
menurut saya aplikasi tidak sesuai dengan website nya, untuk harga sangat berbeda jauh, terlebih saat akan melakukan konsultasi, dokter jarang yang tersedia, bahkan bisa sampai bulan berikutnya, sedangkan jika booking dokter yang(bukan umum) itu harganya sangat mahal bisa 100k sampai 200k, itu pun hanya 10 menit. 🙏🙏, bintang 3 dulu nanti dikasih 5 star dah klo sudah di perbaiki. saran sih ad fitur chat ke dokter dengan gratis.😁;3;Neutral;68;menurut saya aplikasi tidak sesuai dengan website nya, untuk harga sangat berbeda jauh, terlebih saat akan melakukan konsultasi, dokter jarang yang tersedia, bahkan bisa sampai bulan berikutnya, sedangkan jika booking dokter yang(bukan umum) itu harganya sangat mahal bisa 100k sampai 200k, itu pun hanya 10 menit. 🙏🙏, bintang 3 dulu nanti dikasih 5 star dah klo sudah di perbaiki. saran sih ad fitur chat ke dokter dengan gratis.😁;68
kondisi saat ini kualitas udara relatif menjadi masalah serius sehingga sdh cukup banyak yg kena ispa. saran nya dok;5;Positive;19;kondisi saat ini kualitas udara relatif menjadi masalah serius sehingga sdh cukup banyak yg kena ispa. saran nya dok;19
aplikasi yg bermanfaat dan membantu disaat sakit;5;Positive;7;aplikasi yg bermanfaat dan membantu disaat sakit;7
good;5;Positive;1;good;1
sangat membantu untuk konsultasi dari rumah;5;Positive;6;sangat membantu untuk konsultasi dari rumah;6
recommended sekali aplikasinya ,fiturnya lengkap dan sangat membantu saya;5;Positive;9;recommended sekali aplikasinya ,fiturnya lengkap dan sangat membantu saya;9
aplikasi yg sangat membantu;5;Positive;4;aplikasi yg sangat membantu;4
kenapa tidak keluar suara ya pas saya konsultasi sama dokternya jadi kita live di vidio tapi komunikasi lewat cat kan ngeri juga kaya berasa ngobrol sama tembok. perbaiki lagi dong rugi lah 25.000 cuma tatap tatapan saja sama dokter tanpa komunikasi sampai selesai. pas pemberitahuan waktu akan habis nyaring dan jelas suara pemberitahuan aplikasi nya. kl komunikasi malah kaya ngobrol sama semut ngga keluar suara sepatah kata pun;1;Negative;68;kenapa tidak keluar suara ya pas saya konsultasi sama dokternya jadi kita live di vidio tapi komunikasi lewat cat kan ngeri juga kaya berasa ngobrol sama tembok. perbaiki lagi dong rugi lah 25.000 cuma tatap tatapan saja sama dokter tanpa komunikasi sampai selesai. pas pemberitahuan waktu akan habis nyaring dan jelas suara pemberitahuan aplikasi nya. kl komunikasi malah kaya ngobrol sama semut ngga keluar suara sepatah kata pun;68
apaan gak yes blas, org urgent butuh dokter giliran nulis resep malah ngehang ga bisa2, aplikasi aneh!;1;Negative;17;apaan gak yes blas, org urgent butuh dokter giliran nulis resep malah ngehang ga bisa2, aplikasi aneh!;17
