content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,tweet_without_stopwords
very limited insurance integration options,3,-0.09285714285714286,0.18571428571428572,Neutral,very limited insurance integration options
so hard,1,-0.2916666666666667,0.5416666666666666,Negative,so hard
bagus,5,0.0,0.0,Positive,bagus
saya nggak bisa login asuransi saya di app ini,1,0.0,0.0,Negative,saya nggak bisa login asuransi saya di app ini
"hati2 dokter2 disini..konsultasi krn positif covid, bilang mau ksh obat antivirus movflor malahan tdk dikasih apa2,bahkan vitamin pun tdk diresepkan...tdk ada resep dokternya",1,0.0,0.0,Negative,"hati2 dokter2 disini..konsultasi krn positif covid, bilang mau ksh obat antivirus movflor malahan tdk dikasih apa2,bahkan vitamin pun tdk diresepkan...tdk ada resep dokternya"
friendly user,5,0.375,0.5,Positive,friendly user
ok,5,0.5,0.5,Positive,ok
"really bad apps, the apps force us to allow so many unnecessary access from device👎",1,-0.19999999999999996,0.6888888888888888,Negative,"really bad apps, the apps force us to allow so many unnecessary access from device👎"
ok 👍,5,0.5,0.5,Positive,ok 👍
mudah digunakan aplikasinya,5,0.0,0.0,Positive,mudah digunakan aplikasinya
"bagus banget konsul dokter telemedicine lwt video call, lbh cepat & terpercaya",5,0.0,0.0,Positive,"bagus banget konsul dokter telemedicine lwt video call, lbh cepat & terpercaya"
"jelas, dokter ramah",5,0.0,0.0,Positive,"jelas, dokter ramah"
yesdok hadir menolong saat yang lain menghindar. sukses selalu buat yesdok,5,0.0,0.0,Positive,yesdok hadir menolong saat yang lain menghindar. sukses selalu buat yesdok
kereeeen,5,0.0,0.0,Positive,kereeeen
sangat membantu,5,0.0,0.0,Positive,sangat membantu
good,5,0.7,0.6000000000000001,Positive,good
superb,5,1.0,1.0,Positive,superb
"pakai asuransi, tertanggung anak g bisa untuk konsul, diminta untuk swafoto sudah dilakukan terus langsung force close, repeat seperti itu terus. mohon diperbaiki",1,0.0,0.0,Negative,"pakai asuransi, tertanggung anak g bisa untuk konsul, diminta untuk swafoto sudah dilakukan terus langsung force close, repeat seperti itu terus. mohon diperbaiki"
"aplikasi bagus banget dan berguna untuk konsul dokter dan kapan aja, apalagi artikel nya yang bermanfaat sekali untuk dibaca",5,0.0,0.0,Positive,"aplikasi bagus banget dan berguna untuk konsul dokter dan kapan aja, apalagi artikel nya yang bermanfaat sekali untuk dibaca"
"aplikasi bagus, tetapi tidak bisa beli obat lewat gosend. harus pakai kurir 3 sd 5 hari. worthless.",1,-0.8,0.9,Negative,"aplikasi bagus, tetapi tidak bisa beli obat lewat gosend. harus pakai kurir 3 sd 5 hari. worthless."
live ig yes dok dengan tema emotional eating sangat bermanfaat untuk kondisi saya saat ini yg mengalami kesulitan untuk menurunkan berat badan,5,0.06818181818181818,0.575,Positive,live ig yes dok dengan tema emotional eating sangat bermanfaat untuk kondisi saya saat ini yg mengalami kesulitan untuk menurunkan berat badan
gagal menghubungi dokter! biaya admin gede pula 10k. uninstall solusinya!,1,0.0,0.0,Negative,gagal menghubungi dokter! biaya admin gede pula 10k. uninstall solusinya!
very helpful.,5,0.2,0.3,Positive,very helpful.
koq gak bisa buka map buat nentuin lokasi ya..?,2,0.0,0.0,Negative,koq gak bisa buka map buat nentuin lokasi ya..?
fiturnya lengkap,5,0.0,0.0,Positive,fiturnya lengkap
"penggunaan apkikasi cukup mudah, dokter yang melayani konsultasi cukup komunikatif dan jelas dalam menjelaskan permasalahan.",5,0.0,0.0,Positive,"penggunaan apkikasi cukup mudah, dokter yang melayani konsultasi cukup komunikatif dan jelas dalam menjelaskan permasalahan."
live storynya sangat informatif dan bermanfaat. terima kasih yesdok,5,0.13636363636363635,0.5,Positive,live storynya sangat informatif dan bermanfaat. terima kasih yesdok
mudah sekali daftar di yes dok dan bermanfaat aplikasinya,5,0.0,0.0,Positive,mudah sekali daftar di yes dok dan bermanfaat aplikasinya
"apps perlu peningkatan karena tidak menerima panggilan pada saat jadwal konsultasi, pengembalian dana dibantu dengan baik oleh cust service.",3,0.0,0.0,Neutral,"apps perlu peningkatan karena tidak menerima panggilan pada saat jadwal konsultasi, pengembalian dana dibantu dengan baik oleh cust service."
"senang dengan aplikasi ini inteface nya menarik, semoga pelayanannya juga baik.",5,0.0,0.0,Positive,"senang dengan aplikasi ini inteface nya menarik, semoga pelayanannya juga baik."
good app,5,0.7,0.6000000000000001,Positive,good app
"aplikasinya sangat bagus, kualitas video sangat bagus",5,0.0,0.0,Positive,"aplikasinya sangat bagus, kualitas video sangat bagus"
"bermasalah sejak update....tidak bisa menambahkan akun anggota keluarga dalam 1 member.... dulu bisa sambil konsultasi, misal untuk anak, dokter ybs bantu masukkan data nama , tgl lahir dll dll... sekarang dokter suruh kita keluar aplikasi, pibdah akun nya, tapi tetep dicharge padahal tidak konsultasi....parah",5,0.0,0.0,Positive,"bermasalah sejak update....tidak bisa menambahkan akun anggota keluarga dalam 1 member.... dulu bisa sambil konsultasi, misal untuk anak, dokter ybs bantu masukkan data nama , tgl lahir dll dll... sekarang dokter suruh kita keluar aplikasi, pibdah akun nya, tapi tetep dicharge padahal tidak konsultasi....parah"
"great apps. cuma kalau 10 menit agak terlalu cepat ya kayaknya. bagus bisa videocall, ada history, praktis. saya lebih suka daripada aplikasi serupa. bisa dapat resep. tambahan : paling murah di banding apliaksi serupa, juga ada jadwal dan makin banyak dokter terdaftar.",5,0.8,0.75,Positive,"great apps. cuma kalau 10 menit agak terlalu cepat ya kayaknya. bagus bisa videocall, ada history, praktis. saya lebih suka daripada aplikasi serupa. bisa dapat resep. tambahan : paling murah di banding apliaksi serupa, juga ada jadwal dan makin banyak dokter terdaftar."
"tolong ditingkatkan mengenai hal pemberian resep psikiatri krn saya konsul disini utk menghindari konsul tatap muka krn sdg pandemi.tapi ternyata di aplikasi ini, obat2 psikiatrinya sangat terbatas & tdk bisa diresepkan disini.jd sama aja dong saya sdh konsul disini, saya tetep hrs konsul tatap muka dgn dr lain demi dptkan resep obat psikiatrinya. aplikasi lain sdh bisa lho meresepkan obat psikiatri, tp mereka tdk bisa panggilan video.yesdok uda bagus bgt bisa video tapi kendala di resep obat 😭",2,0.0,0.0,Negative,"tolong ditingkatkan mengenai hal pemberian resep psikiatri krn saya konsul disini utk menghindari konsul tatap muka krn sdg pandemi.tapi ternyata di aplikasi ini, obat2 psikiatrinya sangat terbatas & tdk bisa diresepkan disini.jd sama aja dong saya sdh konsul disini, saya tetep hrs konsul tatap muka dgn dr lain demi dptkan resep obat psikiatrinya. aplikasi lain sdh bisa lho meresepkan obat psikiatri, tp mereka tdk bisa panggilan video.yesdok uda bagus bgt bisa video tapi kendala di resep obat 😭"
"respon cepat, dokternya komunikatif dan solutif",5,0.0,0.0,Positive,"respon cepat, dokternya komunikatif dan solutif"
dokter memberi penjelasan rinci dan jelas,5,0.0,0.0,Positive,dokter memberi penjelasan rinci dan jelas
"aplikasi tidak user friendly, susah cari pakainya",1,0.375,0.5,Negative,"aplikasi tidak user friendly, susah cari pakainya"
"mungkin bisa dipertimbangkan lagi untuk penulisan resep supaya bisa request bahasa inggris dan disesuaikan standar penulisannya supaya memudahkan pengguna yg tdk tinggal di indonesia dalam membeli obat yg butuh resep dokter. juga lebih diperhatikan lagi masalah koneksi, sudah 2x mengalami gangguan koneksi (terputus) padahal koneksi saya lancar.",4,0.0,0.0,Positive,"mungkin bisa dipertimbangkan lagi untuk penulisan resep supaya bisa request bahasa inggris dan disesuaikan standar penulisannya supaya memudahkan pengguna yg tdk tinggal di indonesia dalam membeli obat yg butuh resep dokter. juga lebih diperhatikan lagi masalah koneksi, sudah 2x mengalami gangguan koneksi (terputus) padahal koneksi saya lancar."
playstore is in english text but when you open the app its in a different language,1,0.0,0.3666666666666667,Negative,playstore is in english text but when you open the app its in a different language
great app. help a lot to consult my health problem and give solution,5,0.8,0.75,Positive,great app. help a lot to consult my health problem and give solution
friendly apps,5,0.375,0.5,Positive,friendly apps
great app,5,0.8,0.75,Positive,great app
aneh. profil gak bisa diedit padahal ada yang salah. rincian tagihan gak ada untuk asurasi. tiba tiba ada tagihan sendiri. mana sekalian minta foto ktp. aneh dah.,1,0.0,0.0,Negative,aneh. profil gak bisa diedit padahal ada yang salah. rincian tagihan gak ada untuk asurasi. tiba tiba ada tagihan sendiri. mana sekalian minta foto ktp. aneh dah.
"great app, user friendly..",5,0.5875,0.625,Positive,"great app, user friendly.."
"ini sy pas daftar masukin no telp l,salah trus sampai sekarang ga bs login walau sdh koreksi nomor karena selalu mengacu otp ke nomor yg salah.. kynya programnya perlu perbaikan biar bisa comncet ke no yg sdh direvisi",1,0.0,0.0,Negative,"ini sy pas daftar masukin no telp l,salah trus sampai sekarang ga bs login walau sdh koreksi nomor karena selalu mengacu otp ke nomor yg salah.. kynya programnya perlu perbaikan biar bisa comncet ke no yg sdh direvisi"
"tidak bisa menemukan pembayaran menggunakan asuransi , saya tidak bisa menggunakan asuransi great eastern",1,0.8,0.75,Negative,"tidak bisa menemukan pembayaran menggunakan asuransi , saya tidak bisa menggunakan asuransi great eastern"
"pilihan pembelian obat hanya di k24, pemesanan obat dengan layanan 1jam delivery, pesan jam 9 pagi, obatnya datang jam 3 siang. kalau yg sakit parah sudah meninggal duluan. saran saya aplikasi ini perlu belajar dari kompetitor dahulu. tidak cocok buat yang sedang sakit. aplikasi ini cocok untuk orang yang kutu buku yang suka baca artikel.",1,0.0,0.0,Negative,"pilihan pembelian obat hanya di k24, pemesanan obat dengan layanan 1jam delivery, pesan jam 9 pagi, obatnya datang jam 3 siang. kalau yg sakit parah sudah meninggal duluan. saran saya aplikasi ini perlu belajar dari kompetitor dahulu. tidak cocok buat yang sedang sakit. aplikasi ini cocok untuk orang yang kutu buku yang suka baca artikel."
"hard to navigate to find insurance menu. and when i found it, i can't link to my great eastern card, what a waste",1,0.10277777777777776,0.4305555555555555,Negative,"hard to navigate to find insurance menu. and when i found it, i can't link to my great eastern card, what a waste"
that's for removing my first review don't say you didn't then where is it,1,0.25,0.3333333333333333,Negative,that's for removing my first review don't say you didn't then where is it
"aplikasi yang sangat buruk. kendala teknis yang merugikan konsumen, akhirnya penyampaian keluhan penyakit tdk tersampaikan dengan baik. complain via email dengan menceritakan informasi detail, sampe sekarang ga ada tanggapan. sangat tidak baik. mengecewakan.",1,0.0,0.0,Negative,"aplikasi yang sangat buruk. kendala teknis yang merugikan konsumen, akhirnya penyampaian keluhan penyakit tdk tersampaikan dengan baik. complain via email dengan menceritakan informasi detail, sampe sekarang ga ada tanggapan. sangat tidak baik. mengecewakan."
"membantu, tapi saat memberikan obat terlalu bnyk pada bagian paracetamol dan tidak sesuai dengan yg diberikan dokter. saya salah beli obat karena tidak tau mana yang harus saya beli.",1,0.0,0.0,Negative,"membantu, tapi saat memberikan obat terlalu bnyk pada bagian paracetamol dan tidak sesuai dengan yg diberikan dokter. saya salah beli obat karena tidak tau mana yang harus saya beli."
"fitur cukup komplit, tidak terpaku pada pelayanan kesehatan semata.",5,0.0,0.0,Positive,"fitur cukup komplit, tidak terpaku pada pelayanan kesehatan semata."
memuaskan,5,0.0,0.0,Positive,memuaskan
kapan aja butuh konsultasi dengan dokter langsung pake yesdok pelayanan nya 24 jam nonstop dan kualitas dokter pasti terjamin.,5,0.0,0.0,Positive,kapan aja butuh konsultasi dengan dokter langsung pake yesdok pelayanan nya 24 jam nonstop dan kualitas dokter pasti terjamin.
"aplikasi yesdok recommended banget deh. bisa konsultasi gratis sampai pembelian obat, kapan pun dan dimanapun👍👍",5,0.0,0.0,Positive,"aplikasi yesdok recommended banget deh. bisa konsultasi gratis sampai pembelian obat, kapan pun dan dimanapun👍👍"
"rasanya dokter pribadi yang selalu ada setiap saat deh, pakai apliksi yesdok. bisa konsultasi videocall juga.",5,0.0,0.0,Positive,"rasanya dokter pribadi yang selalu ada setiap saat deh, pakai apliksi yesdok. bisa konsultasi videocall juga."
"terima kasih yesdok sudah menjawab semua keluhan saya di tengah pandemi seperti sekarang ini, aplikasi sangat membantu",5,0.0,0.0,Positive,"terima kasih yesdok sudah menjawab semua keluhan saya di tengah pandemi seperti sekarang ini, aplikasi sangat membantu"
kapan aja butuh konsultasi dengan dokter langsung pake yesdok pelayanan nya 24 jam nonstop dan kualitas dokter pasti terjamin,5,0.0,0.0,Positive,kapan aja butuh konsultasi dengan dokter langsung pake yesdok pelayanan nya 24 jam nonstop dan kualitas dokter pasti terjamin
bangga banget deh punya nakes sebaik ini di indonesia. walau online tetep aja jawab jawab keluhan pasien dengan cepat dan akurat. thanks yesdok,5,0.2,0.2,Positive,bangga banget deh punya nakes sebaik ini di indonesia. walau online tetep aja jawab jawab keluhan pasien dengan cepat dan akurat. thanks yesdok
"ga perlu antri cape cape di rs lagi deh, jadi ga khawatir karena ada yesdok yang bisa konsultasi 24 jam",5,0.0,0.0,Positive,"ga perlu antri cape cape di rs lagi deh, jadi ga khawatir karena ada yesdok yang bisa konsultasi 24 jam"
"bersyukur banget dibantu dokter dokter yang profesional banget dan terpercaya dari yesdok, thankyou yesdok!!",5,0.0,0.0,Positive,"bersyukur banget dibantu dokter dokter yang profesional banget dan terpercaya dari yesdok, thankyou yesdok!!"
aplikasi yesdok recommended banget deh saat inii. bisa konsultasi gratis sampai pembelian obat pokoknya.. mantulll,5,0.0,0.0,Positive,aplikasi yesdok recommended banget deh saat inii. bisa konsultasi gratis sampai pembelian obat pokoknya.. mantulll
awalnya ragu mau konsultasi dari aplikasi takut slowrespon. ternyata di yesdok pelayanan nya cepat dan mudah.. thankyouuu,5,0.0,0.0,Positive,awalnya ragu mau konsultasi dari aplikasi takut slowrespon. ternyata di yesdok pelayanan nya cepat dan mudah.. thankyouuu
dijaman digital sekarang ini memang keluarga ku sangat butuh pelayanan dokter dengan konsultasi yang mudah hanya dalam genggaman,5,0.0,0.0,Positive,dijaman digital sekarang ini memang keluarga ku sangat butuh pelayanan dokter dengan konsultasi yang mudah hanya dalam genggaman
ga salah pilih aplikasi. tampilan aplikasi nya sangat bagus beda sama yang lain.. kereenn bangett,5,0.0,0.0,Positive,ga salah pilih aplikasi. tampilan aplikasi nya sangat bagus beda sama yang lain.. kereenn bangett
"seneng banget aku bisa ngobrol langsung dengan dokter pilihan. yesdok pelayanannya memang premium, kereeennn",5,0.0,0.0,Positive,"seneng banget aku bisa ngobrol langsung dengan dokter pilihan. yesdok pelayanannya memang premium, kereeennn"
"disaat pandemi begini, yesdok hadir sebagai salah satu solusi terbaik untuk bangsa indonesia",5,0.0,0.0,Positive,"disaat pandemi begini, yesdok hadir sebagai salah satu solusi terbaik untuk bangsa indonesia"
pertama nya takut dokter online ga bertanggung jawab. ternyata di yesdok beda banget. kualitas dokter terjamin,5,0.0,0.0,Positive,pertama nya takut dokter online ga bertanggung jawab. ternyata di yesdok beda banget. kualitas dokter terjamin
buat kalian yang mau ke rs tapi takut banget bangetan sama covid. yesdok solusi konsultasi dokter hanya dari genggaman tanpa perlu beranjak dari kasur,5,0.0,0.0,Positive,buat kalian yang mau ke rs tapi takut banget bangetan sama covid. yesdok solusi konsultasi dokter hanya dari genggaman tanpa perlu beranjak dari kasur
suka banget deh gunain aplikasi yesdok. mau konsultasi sakit apapun dilayani dengan cepat dan ramah dengan pelayanan yang baik,5,0.0,0.0,Positive,suka banget deh gunain aplikasi yesdok. mau konsultasi sakit apapun dilayani dengan cepat dan ramah dengan pelayanan yang baik
"bersyukur banget aku dengan adanya yesdok, fitur playback nya yang sangat membantu",5,0.0,0.0,Positive,"bersyukur banget aku dengan adanya yesdok, fitur playback nya yang sangat membantu"
