Word,POS Tag
gak,NN
bayar,NN
bpilih,NN
bingung,NN
aneh,VBP
gak,JJ
bantuan,NN
sma,NN
sgt,NN
berguna,NN
utk,JJ
kesehatan,NN
share,NN
kesehatan,NN
war,NN
jadwal,NN
dokter,NN
berbulan,NN
pa,VBP
h,NN
dokternya,NN
terkendala,NN
jaringan,NN
alhasil,NN
uang,JJ
direfund,NN
masuk,NN
saldo,NN
yesdok,NN
ditf,NN
reken,NN
potongan,JJ
k,NN
rugi,NN
konsul,NN
ga,NN
uang,NN
kepotong,VBD
lihat,WP
kecewa,VB
menyes,NNS
ya,PRP
kasih,VB
bintang,NN
sayangnya,NN
lihat,WP
barusan,VBZ
oke,VBD
thank,JJ
yesdok,NN
pengalaman,NN
menyenangkannya,NN
dokternya,NN
sibuk,NN
aplikasi,NN
relevan,NN
dipak,NN
pelayanan,NN
yesdok,NN
bermanfaatsaya,NN
kecewa,NN
marah,NN
transfer,NN
bca,NN
berhasil,NN
giliran,NN
konsul,NN
dokternya,NN
sibuk,NN
gak,NN
tersambung,NN
coba,NN
hasilnya,NN
dikemudian,JJ
samasemoga,NN
kedepannya,NN
yesdok,NN
yesdok,NN
bertanggung,NN
orang,NN
bayar,NN
kolsul,NN
membantu,NN
mengatasi,NN
ocd,NN
tunggu,NN
jam,NN
jam,NN
transfer,NN
shope,NN
sesuai,NN
tarif,NN
pembayaran,NN
suks,NN
ga,NN
tersambung,NN
tunggu,VBP
muter,NN
kayak,VBP
signal,JJ
hp,NN
dihutan,NN
samp,NN
skrg,NN
ga,NN
tanggapan,NN
wa,VBP
kecewa,NN
sy,NN
memadai,NN
pelayanannya,NN
aplikasi,JJ
konsultasi,NN
dokter,NN
dokternya,NN
ga,NN
readi,NN
gak,NN
aplikasi,NN
sesuai,NN
websit,NN
nya,JJ
harga,NN
berbeda,NN
konsultasi,NN
dokter,NN
jarang,NN
tersedia,NN
book,NN
dokter,NN
harganya,NN
mahal,NN
k,NN
k,NNP
menit,NNP
bintang,VBD
dikasih,JJ
star,NN
dah,NN
klo,NN
perbaiki,NN
saran,NN
ad,NN
fitur,NN
chat,WP
dokter,NN
grati,NN
kondisi,NN
kualita,NN
udara,JJ
relatif,NN
seriu,NN
sdh,NN
kena,NN
ispa,NN
saran,VBD
nya,JJ
dok,NN
aplikasi,NN
bermanfaat,NN
membantu,NN
disaat,NN
sakit,NN
good,JJ
membantu,NN
konsultasi,NN
rumah,NN
recommend,VB
aplikasinya,NN
fiturnya,NN
lengkap,NN
membantu,NN
aplikasi,NN
membantu,NN
suara,NN
ya,PRP
pa,VBP
konsultasi,JJ
dokternya,NN
live,JJ
vidio,NN
