content,score,sentiment_rating,wordCount,review_with_stopwords,wordCount_after_stopwords,review_stemmed
"gak bisa bayar yg mau di bpilih , bingung aneh gak ada bantuan sma sekali",2,Negative,15,gak bayar bpilih bingung aneh gak bantuan sma,8,gak bayar bpilih bingung aneh gak bantuan sma
sgt berguna utk tahu kesehatan dan shared soal kesehatan,5,Positive,9,sgt berguna utk kesehatan shared kesehatan,6,sgt berguna utk kesehatan share kesehatan
sudah war jadwal dokter berbulan2 pas hari h dokternya terkendala jaringan. alhasil uang direfund masuk saldo yesdok dan jika ditf ke rekening ada potongan 10k.. yang rugi siapa di sini ? konsul ga jadi uang kepotong.. saya lihat banyak yg kecewa dan menyesal ya makanya mereka kasih bintang 1 ...sayangnya saya baru lihat barusan.. oke thanks yesdok pengalaman tidak menyenangkannya..,1,Negative,66,war jadwal dokter berbulan pas h dokternya terkendala jaringan alhasil uang direfund masuk saldo yesdok ditf rekening potongan k  rugi  konsul ga uang kepotong  lihat kecewa menyesal ya kasih bintang   sayangnya lihat barusan  oke thanks yesdok pengalaman menyenangkannya ,38,war jadwal dokter berbulan pa h dokternya terkendala jaringan alhasil uang direfund masuk saldo yesdok ditf reken potongan k rugi konsul ga uang kepotong lihat kecewa menyes ya kasih bintang sayangnya lihat barusan oke thank yesdok pengalaman menyenangkannya
dokternya sibuk terus,1,Negative,3,dokternya sibuk,2,dokternya sibuk
"aplikasi yang sangat kurang relevan buat dipake karena pelayanan dari pihak yesdok sendiri kurang baik kurang bermanfaat.saya sangat kecewa,marah karena saya sudah transfer lewat bca dan berhasil giliran mau konsul dokternya sibuk terus dan gak bisa tersambung bahkan saya sudah coba berkali-kali hasilnya tetap sama bahkan dikemudian hari juga tetap sama.semoga kedepannya pihak yesdok bisa jauh lebih baik lagi dan pihak yesdok bertanggung jawab buat orang"" yang sudah bayar tapi belum kolsul tiba""",1,Negative,77,aplikasi relevan dipake pelayanan yesdok bermanfaatsaya kecewa marah transfer bca berhasil giliran konsul dokternya sibuk gak tersambung coba hasilnya dikemudian samasemoga kedepannya yesdok yesdok bertanggung orang  bayar kolsul ,28,aplikasi relevan dipak pelayanan yesdok bermanfaatsaya kecewa marah transfer bca berhasil giliran konsul dokternya sibuk gak tersambung coba hasilnya dikemudian samasemoga kedepannya yesdok yesdok bertanggung orang bayar kolsul
ini membantu aku mengatasi ocd tapi waktu tunggu lama banget 1 jam,3,Neutral,12,membantu mengatasi ocd tunggu  jam,5,membantu mengatasi ocd tunggu jam
"katanya 24jam, setelah transfer dari shopee sesuai tarif yg disebutkan dan pembayaran sukses,ternyata ga sekalipun tersambung. waktu tunggu terus muter² kayak signal hp dihutan. sampe skrg ga ada tanggapan, baik lewat wa sekalipun. kecewa sy, belum memadai pelayanannya.",1,Negative,47,jam transfer shopee sesuai tarif pembayaran sukses ga tersambung tunggu muter kayak signal hp dihutan sampe skrg ga tanggapan wa kecewa sy memadai pelayanannya,24,jam transfer shope sesuai tarif pembayaran suks ga tersambung tunggu muter kayak signal hp dihutan samp skrg ga tanggapan wa kecewa sy memadai pelayanannya
"aplikasi konsultasi dokter,dokternya ga ada yg ready gak jelas",1,Negative,11,aplikasi konsultasi dokter dokternya ga ready gak,7,aplikasi konsultasi dokter dokternya ga readi gak
luar biasa,5,Positive,2,,0,
"menurut saya aplikasi tidak sesuai dengan website nya, untuk harga sangat berbeda jauh, terlebih saat akan melakukan konsultasi, dokter jarang yang tersedia, bahkan bisa sampai bulan berikutnya, sedangkan jika booking dokter yang(bukan umum) itu harganya sangat mahal bisa 100k sampai 200k, itu pun hanya 10 menit. , bintang 3 dulu nanti dikasih 5 star dah klo sudah di perbaiki. saran sih ad fitur chat ke dokter dengan gratis.",3,Neutral,80,aplikasi sesuai website nya harga berbeda konsultasi dokter jarang tersedia booking dokter   harganya mahal k k  menit bintang  dikasih  star dah klo perbaiki saran ad fitur chat dokter gratis,29,aplikasi sesuai websit nya harga berbeda konsultasi dokter jarang tersedia book dokter harganya mahal k k menit bintang dikasih star dah klo perbaiki saran ad fitur chat dokter grati
kondisi saat ini kualitas udara relatif menjadi masalah serius sehingga sdh cukup banyak yg kena ispa. saran nya dok,5,Positive,20,kondisi kualitas udara relatif serius sdh kena ispa saran nya dok,11,kondisi kualita udara relatif seriu sdh kena ispa saran nya dok
aplikasi yg bermanfaat dan membantu disaat sakit,5,Positive,7,aplikasi bermanfaat membantu disaat sakit,5,aplikasi bermanfaat membantu disaat sakit
good,5,Positive,1,good,1,good
sangat membantu untuk konsultasi dari rumah,5,Positive,6,membantu konsultasi rumah,3,membantu konsultasi rumah
"recommended sekali aplikasinya ,fiturnya lengkap dan sangat membantu saya",5,Positive,10,recommended aplikasinya fiturnya lengkap membantu,5,recommend aplikasinya fiturnya lengkap membantu
aplikasi yg sangat membantu,5,Positive,4,aplikasi membantu,2,aplikasi membantu
kenapa tidak keluar suara ya pas saya konsultasi sama dokternya jadi kita live di vidio tapi komunikasi lewat cat kan ngeri juga kaya berasa ngobrol sama tembok. perbaiki lagi dong rugi lah 25.000 cuma tatap tatapan saja sama dokter tanpa komunikasi sampai selesai. pas pemberitahuan waktu akan habis nyaring dan jelas suara pemberitahuan aplikasi nya. kl komunikasi malah kaya ngobrol sama semut ngga keluar suara sepatah kata pun,1,Negative,71,suara ya pas konsultasi dokternya live vidio komunikasi cat ngeri kaya berasa ngobrol tembok perbaiki rugi  tatap tatapan dokter komunikasi selesai pas pemberitahuan habis nyaring suara pemberitahuan aplikasi nya kl komunikasi kaya ngobrol semut ngga suara sepatah,37,suara ya pa konsultasi dokternya live vidio komunikasi cat ngeri kaya berasa ngobrol tembok perbaiki rugi tatap tatapan dokter komunikasi selesai pa pemberitahuan habi nyar suara pemberitahuan aplikasi nya kl komunikasi kaya ngobrol semut ngga suara sepatah
"apaan gak yes blas, org urgent butuh dokter giliran nulis resep malah ngehang ga bisa2, aplikasi aneh!",1,Negative,20,gak yes blas org urgent butuh dokter giliran nulis resep ngehang ga bisa aplikasi aneh ,15,gak ye bla org urgent butuh dokter giliran nuli resep ngehang ga bisa aplikasi aneh
"mantap.... nih aplikasi, sayangnya cuman satu, saya yang punya kamera depan yang memiliki lampu fles kamera, namun tidak ada fitur mengaktifkannya, semoga pihak yesdok nantinya mengadakan fitur ini",5,Positive,33,mantap  aplikasi sayangnya cuman kamera memiliki lampu fles kamera fitur mengaktifkannya semoga yesdok mengadakan fitur,15,mantap aplikasi sayangnya cuman kamera memiliki lampu fle kamera fitur mengaktifkannya semoga yesdok mengadakan fitur
sangat bermanfaat,5,Positive,2,bermanfaat,1,bermanfaat
karna pelayanan nya baik,5,Positive,4,karna pelayanan nya,3,karna pelayanan nya
sangat membantu sekali aplikasinya,4,Positive,4,membantu aplikasinya,2,membantu aplikasinya
"ini gimana sih mau masuk,udah bikin pin ditolak terus!!!!..",1,Negative,16,masuk udah bikin pin ditolak     ,5,masuk udah bikin pin ditolak
sejauh ini masih bagus...,5,Positive,5,bagus ,1,bagu
terimakasih yes dok,5,Positive,3,terimakasih yes dok,3,terimakasih ye dok
bagusss bngt,5,Positive,2,bagusss bngt,2,bagusss bngt
ok,5,Positive,1,ok,1,ok
oke,5,Positive,1,oke,1,oke
"mohon bantuannya, saya tidak bisa mengakses rangkuman konsultasi serta resep obat yg di berikan di aplikasi yes dok maupun di email. terus untuk membuka rangkuman konsultasi lewat email yg dikirim melalui pdf itu dibutuhkan kata sandi, tapi saya sudah mengikuti instruksi untuk kata sandi sesuai dengn tanggal lahir sayam tetapi tetap tidak bisa di akses.",5,Positive,59,mohon bantuannya mengakses rangkuman konsultasi resep obat aplikasi yes dok email membuka rangkuman konsultasi email dikirim pdf dibutuhkan sandi mengikuti instruksi sandi sesuai dengn tanggal lahir sayam akses,28,mohon bantuannya mengaks rangkuman konsultasi resep obat aplikasi ye dok email membuka rangkuman konsultasi email dikirim pdf dibutuhkan sandi mengikuti instruksi sandi sesuai dengn tanggal lahir sayam aks
sangat baik,5,Positive,2,,0,
sangat membantu. beneran bisa video call dengan dokter.,5,Positive,10,membantu beneran video call dokter,5,membantu beneran video call dokter
"gk jelas, otp udah masuk udah bener tapi gk login login??",1,Negative,14,gk otp udah masuk udah bener gk login login  ,9,gk otp udah masuk udah bener gk login login
aplikasi yg sangat bagus untuk kita bisa berkonsultasi lgsg dgn dokter. sangat membantu bagi kesehatan dan kesuburan masyarakat. good job & success always ,5,Positive,25,aplikasi bagus berkonsultasi lgsg dgn dokter membantu kesehatan kesuburan masyarakat good job  success always,14,aplikasi bagu berkonsultasi lgsg dgn dokter membantu kesehatan kesuburan masyarakat good job success alway
semoga dengan aplikasi ini banyak masyarakat terbantu tertuma pada masyrkat yg kurang mampu,5,Positive,13,semoga aplikasi masyarakat terbantu tertuma masyrkat,6,semoga aplikasi masyarakat terbantu tertuma masyrkat
aplikasi nya bgus bs berbicara scara langsung sama dokter nya,5,Positive,10,aplikasi nya bgus bs berbicara scara langsung dokter nya,9,aplikasi nya bgu bs berbicara scara langsung dokter nya
"aplikasinya bagus..bermanfaat sekali buat tanya² seputar kesehatan,dan info² tentang kesehatan...",5,Positive,15,aplikasinya bagus  bermanfaat tanya seputar kesehatan info kesehatan ,8,aplikasinya bagu bermanfaat tanya seputar kesehatan info kesehatan
"aplikasi yang sangat bermanfaat semenjak saya kenal aplikasi yesdok jadi ga bingung ga perlu khawatir kalau saya sakit karena di aplikasi yesdok ini bisa bertanya langsung kepada para dokter tentang berbagai keluhan kesehatan saya dan pertanyaannya bisa diajukan via telepon, sms, hingga panggilan video , keren bangett terimakasih yesdok",5,Positive,51,aplikasi bermanfaat semenjak kenal aplikasi yesdok ga bingung ga khawatir sakit aplikasi yesdok langsung dokter keluhan kesehatan pertanyaannya diajukan via telepon sms panggilan video keren bangett terimakasih yesdok,28,aplikasi bermanfaat semenjak kenal aplikasi yesdok ga bingung ga khawatir sakit aplikasi yesdok langsung dokter keluhan kesehatan pertanyaannya diajukan via telepon sm panggilan video keren bangett terimakasih yesdok
"aplikasi yang sangat membantu untukku untuk bisa bertanya langsung kepada para dokter tentang berbagai keluhan kesehatan. yang lebih memudahkannya lagi, pertanyaan bisa diajukan via telepon, sms, hingga panggilan video. sukses selalu untuk yesdok",5,Positive,38,aplikasi membantu untukku langsung dokter keluhan kesehatan memudahkannya diajukan via telepon sms panggilan video sukses yesdok,16,aplikasi membantu untukku langsung dokter keluhan kesehatan memudahkannya diajukan via telepon sm panggilan video suks yesdok
kenapa yaa rekaman vcall di yes dok gak kesimpan di riwayat? padahal sudah dari pagi tadi saya tunggu riwayat vcall tersebut untuk dipresentasikan sebagai tugas kuliah saya,4,Positive,28,yaa rekaman vcall yes dok gak kesimpan riwayat  pagi tunggu riwayat vcall dipresentasikan tugas kuliah,15,yaa rekaman vcall ye dok gak kesimpan riwayat pagi tunggu riwayat vcall dipresentasikan tuga kuliah
"sangat membantu saya dikala saya sedang sakit, makasih yesdok terus maju dan berkembang",5,Positive,14,membantu dikala sakit makasih yesdok maju berkembang,7,membantu dikala sakit makasih yesdok maju berkembang
oke,5,Positive,1,oke,1,oke
oke.bagus,5,Positive,1,okebagus,1,okebagu
ok,5,Positive,1,ok,1,ok
matre ah,1,Negative,2,matre ah,2,matr ah
mang paat banget,5,Positive,3,mang paat,2,mang paat
"aplikasi yang sangat membantu sekali, bagus dan banyak manfaatnya, selain bisa konsultasi langsung via video call, kita juga bisa mencari rumah sakit yang ada di sekitar kita, jadi gak perlu bingung bingung cari rumah sakit terdekat, bila kita di berada di kota lain..",5,Positive,49,aplikasi membantu bagus manfaatnya konsultasi langsung via video call mencari rumah sakit gak bingung bingung cari rumah sakit terdekat kota ,20,aplikasi membantu bagu manfaatnya konsultasi langsung via video call mencari rumah sakit gak bingung bingung cari rumah sakit terdekat kota
thanks untuk apk yesdok emang bener² membantu banget untuk memberikan informasi² kesehatan yg pasti sumbernya yg valid buat aku yg awam soal dunia kesehatan dan juga apk ini juga nyediain berbagai macam layanan mulai dari konsultasi dapat memberikan kemudahan bagiku yg perlu penanganan secara cepat dan praktis ,5,Positive,47,thanks apk yesdok emang bener membantu informasi kesehatan sumbernya valid awam dunia kesehatan apk nyediain layanan konsultasi kemudahan bagiku penanganan cepat praktis,22,thank apk yesdok emang bener membantu informasi kesehatan sumbernya valid awam dunia kesehatan apk nyediain layanan konsultasi kemudahan bagiku penanganan cepat prakti
"aplikasi yang sangat bagus,bisa konsultasi dengan dokter ,banyak promo spesial semoga semakin terdepan",5,Positive,16,aplikasi bagus konsultasi dokter promo spesial semoga terdepan,8,aplikasi bagu konsultasi dokter promo spesial semoga terdepan
apk kesehatn terbaik dan dokter sgt membantu,5,Positive,7,apk kesehatn terbaik dokter sgt membantu,6,apk kesehatn terbaik dokter sgt membantu
terlalu banyak minta data,1,Negative,4,data,1,data
"saya sangat berterimakasih dan sangat bangga dengan aplikasi ini , karena dapat membantu saya",1,Negative,14,berterimakasih bangga aplikasi membantu,4,berterimakasih bangga aplikasi membantu
sangat membantu dalam menanyakan hal kesehatan,5,Positive,6,membantu kesehatan,2,membantu kesehatan
pake yesdok bisa vcall sama dokternya. & nukerin 3 poin bisa dapet 1x konsultasi. mantap bisa kapan ajaa dan dimana aja. yg penting ada koneksi internet.,5,Positive,30,pake yesdok vcall dokternya  nukerin  poin dapet x konsultasi mantap ajaa dimana aja koneksi internet,15,pake yesdok vcall dokternya nukerin poin dapet x konsultasi mantap ajaa dimana aja koneksi internet
siipp,5,Positive,1,siipp,1,siipp
"aplikasi ini sangat membantu dan bagus, tapi saran dari saya tolong tambah untuk psikolog biar orang gampang untuk konsultasinya",5,Positive,20,aplikasi membantu bagus saran tolong psikolog biar orang gampang konsultasinya,10,aplikasi membantu bagu saran tolong psikolog biar orang gampang konsultasinya
aplikasi yang bermanfaat untuk konsultasi,5,Positive,5,aplikasi bermanfaat konsultasi,3,aplikasi bermanfaat konsultasi
alhamdulillah luar biasa sekali mengikuti ig live dari @yesdok_id dgn topik yg menarik yaitu gangguan cemas bersama dokter yg super smart. banyak insights yg alu dapatkan seputar masalah kecemasan. thanks you so much.,5,Positive,37,alhamdulillah mengikuti ig live  yesdokid dgn topik menarik gangguan cemas dokter super smart insights alu dapatkan seputar kecemasan thanks you so much,22,alhamdulillah mengikuti ig live yesdokid dgn topik menarik gangguan cema dokter super smart insight alu dapatkan seputar kecemasan thank you so much
