content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,tweet_without_stopwords
"gak bisa bayar yg mau di bpilih , bingung aneh gak ada bantuan sma sekali",2,0.0,0.0,Negative,"gak bisa bayar yg mau di bpilih , bingung aneh gak ada bantuan sma sekali"
sgt berguna utk tahu kesehatan dan shared soal kesehatan,5,0.0,0.0,Positive,sgt berguna utk tahu kesehatan dan shared soal kesehatan
sudah war jadwal dokter berbulan2 pas hari h dokternya terkendala jaringan. alhasil uang direfund masuk saldo yesdok dan jika ditf ke rekening ada potongan 10k.. yang rugi siapa di sini ? konsul ga jadi uang kepotong.. saya lihat banyak yg kecewa dan menyesal ya makanya mereka kasih bintang 1 ...sayangnya saya baru lihat barusan.. oke thanks yesdok pengalaman tidak menyenangkannya..,1,0.2,0.2,Negative,sudah war jadwal dokter berbulan2 pas hari h dokternya terkendala jaringan. alhasil uang direfund masuk saldo yesdok dan jika ditf ke rekening ada potongan 10k.. yang rugi siapa di sini ? konsul ga jadi uang kepotong.. saya lihat banyak yg kecewa dan menyesal ya makanya mereka kasih bintang 1 ...sayangnya saya baru lihat barusan.. oke thanks yesdok pengalaman tidak menyenangkannya..
dokternya sibuk terus,1,0.0,0.0,Negative,dokternya sibuk terus
"aplikasi yang sangat kurang relevan buat dipake karena pelayanan dari pihak yesdok sendiri kurang baik kurang bermanfaat.saya sangat kecewa,marah karena saya sudah transfer lewat bca dan berhasil giliran mau konsul dokternya sibuk terus dan gak bisa tersambung bahkan saya sudah coba berkali-kali hasilnya tetap sama bahkan dikemudian hari juga tetap sama.semoga kedepannya pihak yesdok bisa jauh lebih baik lagi dan pihak yesdok bertanggung jawab buat orang"" yang sudah bayar tapi belum kolsul tiba""",1,0.0,0.0,Negative,"aplikasi yang sangat kurang relevan buat dipake karena pelayanan dari pihak yesdok sendiri kurang baik kurang bermanfaat.saya sangat kecewa,marah karena saya sudah transfer lewat bca dan berhasil giliran mau konsul dokternya sibuk terus dan gak bisa tersambung bahkan saya sudah coba berkali-kali hasilnya tetap sama bahkan dikemudian hari juga tetap sama.semoga kedepannya pihak yesdok bisa jauh lebih baik lagi dan pihak yesdok bertanggung jawab buat orang"" yang sudah bayar tapi belum kolsul tiba"""
ini membantu aku mengatasi ocd tapi waktu tunggu lama banget 1 jam,3,0.0,0.0,Neutral,ini membantu aku mengatasi ocd tapi waktu tunggu lama banget 1 jam
"katanya 24jam, setelah transfer dari shopee sesuai tarif yg disebutkan dan pembayaran sukses,ternyata ga sekalipun tersambung. waktu tunggu terus muter² kayak signal hp dihutan. sampe skrg ga ada tanggapan, baik lewat wa sekalipun. kecewa sy, belum memadai pelayanannya.",1,0.0,0.0,Negative,"katanya 24jam, setelah transfer dari shopee sesuai tarif yg disebutkan dan pembayaran sukses,ternyata ga sekalipun tersambung. waktu tunggu terus muter² kayak signal hp dihutan. sampe skrg ga ada tanggapan, baik lewat wa sekalipun. kecewa sy, belum memadai pelayanannya."
"aplikasi konsultasi dokter,dokternya ga ada yg ready gak jelas",1,0.2,0.5,Negative,"aplikasi konsultasi dokter,dokternya ga ada yg ready gak jelas"
luar biasa,5,0.0,0.0,Positive,luar biasa
"menurut saya aplikasi tidak sesuai dengan website nya, untuk harga sangat berbeda jauh, terlebih saat akan melakukan konsultasi, dokter jarang yang tersedia, bahkan bisa sampai bulan berikutnya, sedangkan jika booking dokter yang(bukan umum) itu harganya sangat mahal bisa 100k sampai 200k, itu pun hanya 10 menit. 🙏🙏, bintang 3 dulu nanti dikasih 5 star dah klo sudah di perbaiki. saran sih ad fitur chat ke dokter dengan gratis.😁",3,0.0,0.0,Neutral,"menurut saya aplikasi tidak sesuai dengan website nya, untuk harga sangat berbeda jauh, terlebih saat akan melakukan konsultasi, dokter jarang yang tersedia, bahkan bisa sampai bulan berikutnya, sedangkan jika booking dokter yang(bukan umum) itu harganya sangat mahal bisa 100k sampai 200k, itu pun hanya 10 menit. 🙏🙏, bintang 3 dulu nanti dikasih 5 star dah klo sudah di perbaiki. saran sih ad fitur chat ke dokter dengan gratis.😁"
